iter	Logloss
0	0.6896949114
1	0.6859378488
2	0.6822440447
3	0.6790305437
4	0.6745593262
5	0.6716149466
6	0.6684703718
7	0.6652340262
8	0.6618677194
9	0.6598490688
10	0.6570159912
11	0.6543307931
12	0.6515282767
13	0.648919111
14	0.645511213
15	0.6429217529
16	0.6401674107
17	0.6379352679
18	0.6352756173
19	0.6326064628
20	0.6300797817
21	0.6272971453
22	0.6246727644
23	0.6219599261
24	0.6193229021
25	0.6166191755
26	0.6147412109
27	0.6126070731
28	0.6099506487
29	0.6077813721
30	0.6055684117
31	0.6035076904
32	0.6007298061
33	0.5984674072
34	0.5960023717
35	0.5939052909
36	0.5916315133
37	0.5898217773
38	0.588094308
39	0.5865059553
40	0.5855957467
41	0.5833810861
42	0.5813698905
43	0.5788455636
44	0.577431815
45	0.5755007935
46	0.5736810303
47	0.5720000349
48	0.5702642386
49	0.5686667306
50	0.5670353917
51	0.5652200317
52	0.5635238211
53	0.5619040789
54	0.5598766218
55	0.5588317871
56	0.5572539411
57	0.5557712228
58	0.55421378
59	0.5519716099
60	0.5503485979
61	0.5490907506
62	0.5477260045
63	0.5462448992
64	0.5447288295
65	0.543692191
66	0.5424888393
67	0.541589835
68	0.5406586565
69	0.5391258458
70	0.5381192017
71	0.536651001
72	0.534936785
73	0.5338840158
74	0.5323210798
75	0.5312206159
76	0.5298077393
77	0.5283642578
78	0.526882891
79	0.5257811192
80	0.5243993705
81	0.5231444005
82	0.5220836094
83	0.5213724191
84	0.5198679897
85	0.5191527012
86	0.5178131104
87	0.5168536813
88	0.5158053153
89	0.5146643066
90	0.5134455218
91	0.5126284354
92	0.5115054321
93	0.5107155064
94	0.5097348458
95	0.508498448
96	0.5075269863
97	0.5064396449
98	0.5054989188
99	0.5044819859
100	0.5036640276
101	0.5025854492
102	0.5015599714
103	0.5006413487
104	0.4996467808
105	0.4987442453
106	0.4981069946
107	0.4969239153
108	0.4961291068
109	0.4953506034
110	0.4943659319
111	0.493609096
112	0.4929609026
113	0.4919418771
114	0.4909672328
115	0.4899245344
116	0.4887962123
117	0.4877124895
118	0.4868942697
119	0.4861914934
120	0.4855128697
121	0.4848635428
122	0.4836524745
123	0.4824926322
124	0.4815595354
125	0.4808681379
126	0.4799101911
127	0.4793809291
128	0.4784231567
129	0.4776371547
130	0.4767524937
131	0.4760774449
132	0.4749964251
133	0.4742455183
134	0.4733607701
135	0.4724530901
136	0.4715378244
137	0.4708331735
138	0.4701544189
139	0.4696629551
140	0.4690914481
141	0.4685552979
142	0.4676475307
143	0.4668187605
144	0.4660328892
145	0.4653621129
146	0.4647194999
147	0.4635258702
148	0.4627726528
149	0.461728472
150	0.4610936628
151	0.4604160418
152	0.4599424962
153	0.4591244071
154	0.4585301862
155	0.4577409145
156	0.456900722
157	0.4560267421
158	0.4554606846
159	0.454725647
160	0.4538763864
161	0.4537709263
162	0.4531770979
163	0.4524610247
164	0.4518632725
165	0.4511072213
166	0.4505147008
167	0.4499904088
168	0.449354684
169	0.4487178258
170	0.4479657854
171	0.4472603498
172	0.4465985107
173	0.4457312884
174	0.4450696673
175	0.444400504
176	0.443671439
177	0.4429098075
178	0.4424561855
179	0.4417981393
180	0.4409701102
181	0.4402774048
182	0.4397080776
183	0.4390628052
184	0.4382299369
185	0.4373324149
186	0.4367306955
187	0.4358278983
188	0.4349047852
189	0.4343624442
190	0.4336186
191	0.4331924003
192	0.4327548654
193	0.432256121
194	0.4316523089
195	0.4309728132
196	0.4302605765
197	0.4296393694
198	0.4290913609
199	0.4284870693
200	0.4279074533
201	0.4272215053
202	0.4267502267
203	0.4260983712
204	0.4256666783
205	0.4249120658
206	0.4244876535
207	0.4240436663
208	0.423487636
209	0.4228002494
210	0.422147304
211	0.4215529088
212	0.4210719953
213	0.4204767718
214	0.4198698643
215	0.4191720145
216	0.4187482561
217	0.4181740897
218	0.4176806641
219	0.4171905518
220	0.4165237863
221	0.4158461652
222	0.4152912249
