iter	Passed	Remaining
435	1373	1776
436	1379	1776
437	1382	1773
438	1385	1770
439	1387	1765
440	1390	1762
441	1393	1759
442	1396	1755
443	1399	1752
444	1402	1748
445	1405	1745
446	1408	1743
447	1411	1739
448	1413	1735
449	1416	1731
450	1418	1727
451	1423	1726
452	1426	1722
453	1429	1719
454	1432	1715
455	1434	1711
456	1438	1709
457	1440	1705
458	1443	1701
459	1445	1697
460	1448	1693
461	1451	1690
462	1454	1686
463	1457	1683
464	1459	1679
465	1462	1675
466	1464	1671
467	1467	1668
468	1470	1664
469	1473	1661
470	1476	1657
471	1478	1654
472	1481	1650
473	1484	1646
474	1486	1643
475	1489	1639
476	1491	1635
477	1494	1631
478	1497	1628
479	1499	1624
480	1501	1620
481	1504	1616
482	1506	1612
483	1509	1608
484	1512	1606
485	1515	1603
486	1518	1599
487	1521	1596
488	1523	1592
489	1527	1590
490	1530	1586
491	1532	1582
492	1535	1578
493	1537	1575
494	1540	1571
495	1544	1569
496	1547	1565
497	1549	1562
498	1552	1558
499	1555	1555
500	1561	1555
501	1564	1552
502	1567	1548
503	1570	1545
504	1577	1545
505	1580	1542
506	1583	1539
507	1587	1537
508	1592	1536
509	1596	1533
510	1605	1535
511	1608	1533
512	1612	1530
513	1616	1528
514	1621	1526
515	1623	1523
516	1626	1519
517	1630	1516
518	1634	1515
519	1637	1511
520	1640	1507
521	1643	1504
522	1646	1501
523	1651	1500
524	1654	1496
525	1659	1495
526	1662	1491
527	1665	1488
528	1667	1484
529	1669	1480
530	1672	1477
531	1676	1474
532	1680	1472
533	1682	1468
534	1685	1464
535	1689	1462
536	1694	1461
537	1697	1457
538	1700	1454
539	1704	1452
540	1708	1449
541	1711	1446
542	1714	1442
543	1716	1439
544	1720	1436
545	1724	1433
546	1727	1430
547	1729	1426
548	1732	1423
549	1735	1419
550	1740	1418
551	1743	1415
552	1746	1411
553	1749	1408
554	1754	1407
555	1757	1403
556	1759	1399
557	1762	1396
558	1765	1393
559	1771	1391
560	1774	1388
561	1777	1384
562	1779	1381
563	1782	1378
564	1786	1375
565	1790	1372
566	1793	1369
567	1797	1366
568	1800	1363
569	1802	1359
570	1806	1357
571	1809	1353
572	1813	1351
573	1816	1347
574	1819	1345
575	1822	1341
576	1826	1339
577	1829	1335
578	1832	1332
579	1836	1329
580	1839	1326
581	1843	1324
582	1846	1320
583	1850	1318
584	1853	1314
585	1856	1311
586	1858	1307
587	1861	1304
588	1864	1301
589	1867	1297
590	1872	1295
591	1875	1292
592	1878	1289
593	1881	1286
594	1884	1282
595	1887	1279
596	1890	1276
597	1894	1273
598	1897	1270
599	1900	1266
600	1902	1263
601	1905	1259
602	1909	1256
603	1911	1253
604	1915	1250
605	1918	1247
606	1921	1244
607	1925	1241
608	1927	1237
609	1930	1234
610	1933	1230
611	1936	1227
612	1939	1224
613	1942	1220
614	1945	1217
615	1948	1214
616	1950	1210
617	1953	1207
618	1956	1204
619	1960	1201
620	1963	1198
621	1967	1195
622	1970	1192
623	1973	1189
624	1976	1186
625	1979	1182
626	1983	1179
627	1985	1176
628	1988	1173
629	1992	1170
630	1995	1166
631	1998	1163
632	2000	1159
633	2003	1156
634	2006	1153
635	2009	1150
636	2013	1147
637	2016	1143
638	2019	1140
639	2022	1137
640	2024	1134
641	2027	1130
642	2030	1127
643	2033	1124
644	2036	1120
645	2038	1117
646	2041	1114
647	2044	1110
648	2047	1107
649	2050	1104
650	2053	1100
651	2057	1098
652	2060	1094
653	2062	1091
654	2065	1088
655	2068	1084
656	2071	1081
657	2074	1078
658	2077	1074
659	2079	1071
660	2082	1067
661	2085	1064
662	2088	1061
663	2090	1058
664	2093	1054
665	2096	1051
666	2100	1048
667	2103	1045
668	2106	1042
669	2108	1038
